Company Name,Job Opening Title,Description,Skills Needed,Level,Hiring Manager,Company Review,Estimated Salary (INR),Job Location,Employment Type,Experience Required,Education Required,Application Deadline,Job Posting Date,Company Size,Remote Option,Contact Information
Mahindra & Mahindra,Software Engineer,"As a Software Engineer, you will be responsible for designing, developing, and maintaining high-quality software applications that meet user needs and business requirements. Your role will involve working throughout the software development lifecycle, from requirements gathering and system design to coding, testing, and deployment.

    You will collaborate with cross-functional teams, including product managers, UX/UI designers, and quality assurance professionals, to develop software solutions that are efficient, reliable, and scalable. Your responsibilities will include writing clean, maintainable code using programming languages such as Java, C++, Python, or JavaScript, and applying software engineering best practices to ensure the robustness of your applications.

    Additionally, you will be involved in the development of new features, bug fixing, and performance optimization to enhance the functionality and user experience of software products. This includes participating in code reviews, debugging issues, and implementing automated tests to ensure the quality and stability of your code.

    You will also work on integrating software with various systems and services, such as APIs, databases, and third-party libraries, to create cohesive and efficient solutions. Familiarity with development frameworks, version control systems (such as Git), and agile methodologies will be important for effectively managing your work and delivering results in a collaborative environment.

    Your role will require strong problem-solving skills, creativity, and the ability to adapt to new technologies and programming paradigms. A commitment to continuous learning and professional development will be crucial in staying up-to-date with industry trends and advancements in software engineering.

    By contributing your skills and expertise, you will play a key role in delivering high-quality software products that drive the success of the organization and meet the needs of its users.","Java, Python, Algorithms",Entry-Level,Manoj Kumar,3.6830549325538513,940000,Bengaluru,Part-Time,Entry-Level,MSc in Data Science,2024-03-25,2024-02-10,Medium,No,maanas.narain@mahindra&mahindra.com
Adani Group,Data Scientist,"As a Data Scientist, you will play a pivotal role in harnessing the power of data to drive business decisions and strategies. Your primary responsibility will be to analyze and interpret complex data sets, which involves using advanced statistical techniques, machine learning algorithms, and data mining methods to uncover actionable insights. You will work closely with various departments, including marketing, finance, and operations, to understand their data needs and deliver solutions that enhance decision-making processes.

    In this role, you will be expected to develop and deploy predictive models that forecast trends, behaviors, and outcomes. This includes feature engineering, model selection, and hyperparameter tuning to achieve optimal performance. Your analytical skills will be critical in identifying patterns and correlations within large data sets, which will inform strategic business initiatives and operational improvements.

    Additionally, you will create comprehensive reports and visualizations to communicate your findings to stakeholders in a clear and compelling manner. This involves translating complex technical concepts into actionable business recommendations and presenting your insights in a way that is understandable and relevant to non-technical audiences. Collaboration with data engineers and IT teams will also be part of your responsibilities to ensure the seamless integration of data systems and tools.

    You will be working with a variety of data sources and technologies, including SQL databases, big data platforms (such as Hadoop or Spark), and programming languages like Python or R. A strong understanding of statistical analysis, data wrangling, and machine learning techniques is essential for success in this role. Moreover, staying up-to-date with industry trends and advancements in data science will be crucial in continuously improving your skills and delivering high-quality results.

    Your role as a Data Scientist will require strong problem-solving abilities, critical thinking, and a passion for working with data to drive business success. By leveraging your expertise, you will contribute significantly to the organization's data-driven strategy and overall growth.","Statistics, Python, Machine Learning, Data Visualization, SQL",Mid-Level,Ravi Patel,4.346143706822797,765000,Indore,Full-Time,Mid-Level,BTech in CS,2024-04-15,2024-05-24,Large,Yes,oni.bhatnagar@adanigroup.com
ICICI Bank,Technical Writer,"As a Technical Writer, you will be responsible for creating and maintaining technical documentation that effectively communicates complex information to users and stakeholders. Your role involves working closely with product managers, developers, and subject matter experts to gather information and translate it into clear, concise, and accurate documentation.

    You will create a variety of technical documents, including user manuals, installation guides, API documentation, and release notes. Your responsibilities will include organizing and structuring content, ensuring consistency in style and terminology, and adhering to documentation standards and guidelines.

    Additionally, you will be involved in reviewing and editing existing documentation to ensure accuracy, clarity, and completeness. You will also work on developing templates, style guides, and documentation processes to improve the efficiency and quality of documentation efforts.

    Your role will require strong writing and editing skills, as well as the ability to understand and communicate technical concepts to both technical and non-technical audiences. Proficiency in documentation tools, such as MadCap Flare, Adobe FrameMaker, or Markdown, will be valuable in creating and managing documentation.

    By providing clear and comprehensive technical documentation, you will play a key role in ensuring that users and stakeholders can effectively use and understand the organization’s products and systems.","Content Creation, User Guides, Software Documentation, Editing",Senior,Ritika Sharma,4.4410638543586405,640000,Hyderabad,Contract,Senior,MSc in Data Science,2024-02-05,2024-01-22,Medium,No,sarthak.trivedi@icicibank.com
Larsen & Toubro,System Analyst,"As a System Analyst, you will be responsible for evaluating and improving IT systems to ensure they meet the needs of the business and enhance operational efficiency. Your role involves working with stakeholders to gather and analyze business requirements, assessing existing systems, and recommending solutions to address identified issues and opportunities.

    You will conduct detailed analyses of business processes, workflows, and system performance to identify areas for improvement. This includes creating functional specifications, developing system diagrams, and documenting requirements to support the development and implementation of new systems or system enhancements.

    Additionally, you will work closely with development teams to ensure that technical solutions align with business requirements and deliver value. This may involve creating user stories, defining acceptance criteria, and participating in testing and validation processes to ensure that solutions meet the needs of end-users.

    Your role will also involve troubleshooting and resolving issues with existing systems, providing support to users, and managing change requests to ensure that system modifications are implemented effectively. Strong analytical skills, attention to detail, and the ability to communicate complex concepts clearly will be essential for success in this role.

    By leveraging your expertise, you will play a key role in driving system improvements and ensuring that IT systems support the organization’s goals and objectives. Your ability to bridge the gap between business needs and technical solutions will be crucial in delivering effective and efficient systems.","Documentation, Business Analysis, Requirements Elicitation, System Design, Testing",Entry-Level,Neha Mehta,4.176765804313308,680000,Surat,Contract,Entry-Level,MBA,2024-04-09,2024-07-30,Medium,No,janya.chandra@larsen&toubro.com
Wipro,Cloud Engineer,"As a Cloud Engineer, you will be responsible for designing, deploying, and managing cloud-based infrastructure and services to support the organization's IT needs. Your role involves working with cloud platforms, such as AWS, Azure, or Google Cloud, to create scalable and reliable cloud environments that meet business requirements.

    You will work on designing cloud architectures, including setting up and configuring cloud services, managing virtual machines, and implementing storage solutions. Your responsibilities will also include optimizing cloud resources for performance and cost-efficiency, ensuring the security and compliance of cloud environments, and automating cloud operations using tools such as Terraform or CloudFormation.

    Additionally, you will collaborate with development teams to integrate cloud services with applications, monitor cloud infrastructure for performance and availability, and troubleshoot issues as they arise. You will also be involved in developing and implementing disaster recovery and backup strategies to ensure data protection and continuity of operations.

    Your role will require strong technical skills in cloud computing technologies, as well as experience with scripting and automation. Familiarity with cloud security best practices, as well as relevant cloud certifications (such as AWS Certified Solutions Architect or Azure Certified Solutions Architect), will be valuable assets.

    By leveraging your expertise in cloud technologies, you will play a key role in enabling the organization to harness the benefits of cloud computing, including scalability, flexibility, and cost-efficiency, while ensuring the reliability and security of cloud-based systems and services.","GCP, Cloud Security, Azure, DevOps, AWS",Senior,Amitabh Bachchan,3.1333506312341477,945000,Noida,Part-Time,Senior,BTech in IT,2024-07-02,2024-03-27,Large,No,neel.mand@wipro.com
ICICI Bank,Project Manager,"As a Project Manager, you will be responsible for planning, executing, and closing projects within the organization. Your role involves coordinating with cross-functional teams, managing project timelines and budgets, and ensuring that project deliverables meet the required quality standards.

    You will lead the project from initiation to completion, which includes defining project scope, creating detailed project plans, and setting milestones. Your responsibilities will involve identifying and managing project risks, allocating resources, and ensuring that all project stakeholders are kept informed of progress and any changes to the project plan.

    Additionally, you will be responsible for monitoring project performance, managing project documentation, and conducting project reviews to identify lessons learned and areas for improvement. You will also work on implementing project management best practices and methodologies, such as Agile or Waterfall, to ensure efficient and effective project delivery.

    Your role will require strong leadership, communication, and organizational skills, as well as the ability to manage multiple projects simultaneously. Familiarity with project management tools, such as Microsoft Project, JIRA, or Trello, will be essential for tracking project progress and managing tasks.

    By effectively managing projects, you will play a crucial role in ensuring that the organization’s goals are achieved on time, within budget, and to the satisfaction of stakeholders.","Risk Management, Project Planning, Agile",Senior,Ravi Patel,3.3379725150884267,1536000,Surat,Part-Time,Senior,BTech in IT,2024-06-09,2024-06-25,Large,No,banjeet.sani@icicibank.com
Tata Consultancy Services,Network Engineer,"As a Network Engineer, you will be responsible for designing, implementing, and managing network infrastructure to ensure reliable and secure connectivity across the organization. Your role involves configuring and maintaining network hardware, such as routers, switches, and firewalls, and ensuring that network systems operate efficiently and securely.

    You will work on designing network architectures, including local area networks (LANs), wide area networks (WANs), and virtual private networks (VPNs), to support organizational operations and connectivity needs. Your responsibilities will also include monitoring network performance, identifying and resolving connectivity issues, and implementing network security measures to protect against cyber threats.

    Additionally, you will collaborate with other IT professionals to integrate network systems with existing infrastructure, support network-related projects, and ensure that network solutions align with business requirements. You will also be involved in planning and executing network upgrades, migrations, and expansions to accommodate growing organizational needs.

    Your role will require strong technical skills in networking protocols, such as TCP/IP, and experience with network management tools and technologies. Familiarity with network security best practices, as well as certification in networking technologies (such as Cisco CCNA or CompTIA Network+), will be valuable assets in this role.

    By ensuring the reliability, security, and performance of network infrastructure, you will play a crucial role in supporting the organization’s connectivity and communication needs and enabling efficient and secure network operations.","Network Security, Cisco, Networking",Senior,Ravi Patel,3.479308440185445,798000,Ahmedabad,Full-Time,Senior,BTech in IT,2024-06-30,2024-05-08,Large,No,faris.gala@tataconsultancyservices.com
Reliance Industries,Database Administrator,"As a Database Administrator, you will be responsible for managing and maintaining database systems to ensure their performance, security, and availability. Your role involves configuring and optimizing database servers, performing regular backups and recovery operations, and monitoring database performance to identify and resolve issues.

    You will work on designing and implementing database architectures, including schema design, indexing strategies, and partitioning techniques, to support efficient data storage and retrieval. Your responsibilities will also include managing database security, including user access controls, encryption, and compliance with data protection regulations.

    Additionally, you will be involved in troubleshooting and resolving database-related issues, such as performance bottlenecks, data corruption, or connectivity problems. This includes performing routine maintenance tasks, such as applying patches and updates, and ensuring that databases are running smoothly and securely.

    Your role will require proficiency in database management systems, such as Oracle, SQL Server, MySQL, or PostgreSQL, as well as experience with backup and recovery tools, performance tuning, and query optimization. Strong problem-solving skills and a solid understanding of database principles and best practices will be essential for success in this role.

    By ensuring the reliability, security, and performance of database systems, you will play a critical role in supporting the organization’s data management needs and enabling effective data-driven decision-making.","Security, Backup and Recovery, Database Management",Senior,Amitabh Bachchan,4.6035582541367726,955500,Hyderabad,Part-Time,Senior,MSc in Data Science,2024-07-21,2024-02-13,Medium,Yes,upma.aurora@relianceindustries.com
Infosys,Artificial Intelligence Engineer,"As an Artificial Intelligence Engineer, you will be responsible for developing and deploying AI models and solutions that drive innovation and automation within the organization. Your role involves working with various AI techniques, such as natural language processing (NLP), computer vision, and neural networks, to create intelligent systems that solve complex problems.

    You will collaborate with data scientists, software engineers, and other stakeholders to design and implement AI models that meet business needs. This includes collecting and preprocessing data, selecting appropriate AI algorithms, and fine-tuning models to achieve high performance. Your work will involve applying advanced techniques such as deep learning, reinforcement learning, and generative models to create AI-driven applications.

    Additionally, you will be responsible for integrating AI models into production environments, ensuring that they operate efficiently and effectively. This includes monitoring model performance, addressing issues related to model drift, and continuously improving models based on feedback and new data. You will also work on developing AI-driven tools and applications that enhance business processes, improve customer experiences, and drive innovation.

    Your role will require strong programming skills in languages such as Python or Java, as well as experience with AI frameworks and libraries, such as TensorFlow, Keras, or OpenAI. A deep understanding of AI concepts, including machine learning, deep learning, and neural networks, will be essential for success in this role.

    By leveraging your expertise in artificial intelligence, you will play a key role in driving the organization’s AI strategy and ensuring that AI solutions deliver measurable business value. Your work will contribute to the organization’s ability to stay competitive in a rapidly evolving technological landscape.","Computer Vision, AI, Neural Networks, NLP",Senior,Rajesh Kumar,3.7381173774305374,1359750,Pune,Part-Time,Senior,BTech in IT,2024-05-18,2024-03-13,Large,No,yashvi.jaggi@infosys.com
Wipro,Sales Engineer,"As a Sales Engineer, you will be responsible for combining technical knowledge with sales skills to provide support and expertise to customers and sales teams. Your role involves understanding customer requirements, demonstrating product capabilities, and providing technical solutions that meet customer needs.

    You will work closely with sales teams to identify and qualify sales opportunities, conduct product demonstrations, and deliver technical presentations to customers. Your responsibilities will include developing and delivering product proposals, responding to technical inquiries, and working with customers to design and implement solutions that meet their specific requirements.

    Additionally, you will be involved in providing post-sales support, including troubleshooting issues, conducting training sessions, and ensuring customer satisfaction with the product. You will also work on staying up-to-date with industry trends, product developments, and competitor offerings to effectively position your product in the market.

    Your role will require strong technical knowledge, excellent communication skills, and the ability to build and maintain relationships with customers. Familiarity with CRM tools, such as Salesforce, and experience in the industry or product domain will be valuable in effectively supporting the sales process.

    By providing technical expertise and support, you will play a key role in driving sales and ensuring that customers receive the best possible solutions to meet their needs.","Solution Selling, Customer Engagement, Negotiation",Entry-Level,Nikhil Kapoor,3.517944455902702,836000,Pune,Full-Time,Entry-Level,MBA,2024-03-14,2024-06-06,Small,Yes,zaid.bansal@wipro.com
